tract_id,COUNTY,svi,population,lat,lon,flood_days,nearest_station,elevation_m,infra_count,storm_count,river_dist_mi,low_lying_norm,flood_days_norm,stormwater_norm,riverine_norm,compound_flood_norm,svi_norm,infrastructure_norm,coverage_norm,score
48167723504,Galveston County,0.1714,2302,29.372477,-95.1143421,34.0,"Eagle Point, TX",12.0,0.0,0.0,,0.8518518518518519,1.0,0.0,0.0,0.9259259259259259,0.17150290174104463,0.0,0.56985520618987,0.5251030578079671
48167720511,Galveston County,0.194,2941,29.476734,-95.1120345,34.0,"Eagle Point, TX",10.0,0.0,0.0,,0.8765432098765432,1.0,0.0,0.0,0.9382716049382717,0.19411646988192918,0.0,0.4463749931061061,0.5250946624974117
48201253700,Harris County,0.9327,6173,29.7654725,-94.973955,10.666666666666666,"Morgans Point, TX",9.0,0.0,0.0,,0.8888888888888888,0.0,0.0,0.0,0.4444444444444444,0.9332599559735841,0.0,0.4462177555141533,0.5245997623434906
48167720508,Galveston County,0.2105,2661,29.4910561,-95.1307551,34.0,"Eagle Point, TX",12.0,0.0,0.0,,0.8518518518518519,1.0,0.0,0.0,0.9259259259259259,0.2106263758254953,0.0,0.4158088669298483,0.5214354661073001
48167723403,Galveston County,0.129,3569,29.3907653,-95.1081966,34.0,"Eagle Point, TX",9.0,0.0,0.0,,0.8888888888888888,1.0,0.0,0.0,0.9444444444444444,0.12907744646788075,0.0,0.5509185184425988,0.5188150857846241
48167724200,Galveston County,0.5113,3323,29.3200552,-94.7716394,18.0,"Galveston Pier 21, TX",8.0,0.0,0.0,,0.9012345679012346,0.3142857142857143,0.0,0.0,0.6077601410934744,0.5116069641785072,0.0,0.906931121335632,0.5176672648791789
48167720200,Galveston County,0.2264,5156,29.5137895,-95.1797655,34.0,"Eagle Point, TX",13.0,0.0,0.0,,0.8395061728395061,1.0,0.0,0.0,0.9197530864197531,0.22653592155293176,0.0,0.3538237112771275,0.5172320364824811
48167723501,Galveston County,0.1089,1885,29.3592585,-95.0687489,34.0,"Eagle Point, TX",10.0,0.0,0.0,,0.8765432098765432,1.0,0.0,0.0,0.9382716049382717,0.10896537922753652,0.0,0.6152878349446675,0.51644061948495
48201254100,Harris County,0.9422,5669,29.7463599,-94.9558793,10.666666666666666,"Morgans Point, TX",14.0,0.0,0.0,,0.8271604938271605,0.0,0.0,0.0,0.41358024691358025,0.9427656593956375,0.0,0.4663567208186385,0.5155764810116662
48201253502,Harris County,0.912,4317,29.7785633,-95.012249,10.666666666666666,"Morgans Point, TX",9.0,0.0,0.0,,0.8888888888888888,0.0,0.0,0.0,0.4444444444444444,0.9125475285171103,0.0,0.4017196152925934,0.5139362200843924
