lat,lon,elevation_m
29.7707516,-95.7433909,42.0
29.9119752,-95.6324988,42.0
29.6705855,-95.0618749,9.0
30.0439159,-95.3652759,36.0
29.6850348,-95.452935,20.0
29.8914228,-95.5153015,36.0
29.7361984,-95.3850116,15.0
29.9502616,-95.5079947,38.0
29.7493175,-95.7410644,32.0
29.7330201,-95.5683818,28.0
29.9929597,-95.1954273,24.0
29.9170973,-95.5375312,37.0
29.8369083,-95.476414,27.0
29.7596259,-95.6143903,28.0
29.7330116,-95.5517775,30.0
29.9779675,-95.4575753,34.0
29.8431718,-95.5325591,33.0
29.6305535,-95.3733149,18.0
29.8440369,-95.4780006,32.0
29.6705847,-95.454883,21.0
29.6601449,-95.51088,23.0
29.7225162,-95.5987045,27.0
29.5917747,-95.0695211,12.0
29.639988,-95.5394412,29.0
29.7460547,-95.4980367,25.0
29.6191775,-95.2599372,17.0
29.7937905,-95.7891972,42.0
29.8239522,-95.8152033,47.0
29.5644702,-95.2310779,14.0
29.8287723,-94.9611742,13.0
29.699002,-95.3923379,17.0
29.958112,-95.116828,27.0
29.6836581,-95.3970225,21.0
29.7547559,-95.3621919,23.0
29.7925692,-95.8132146,47.0
